Token,Short Name,Series,Company Name,Tick Size,Lot Size,Scrip Code,Scrip ID,Scrip Name,Issue Price,Face Value,ISIN,52 Weeks High,52 Weeks Low,Life Time High,Life Time Low,Exchange Code
51222,NAGOFS,DR,NARMADA GELATINES LTD OFS,0,1,51222,SHAWGELTIN,NARMADA GELATINES LTD OFS,0,10,INE000000222,0,0,0,0,SHAWGELTIN
534184,NAGOIL,C,NAGARJUNA OIL REFINERY LIMITED,0.26,1,534184,NAGAROIL,NAGARJUNA OIL REFINERY LIMITED,0.24,1,INE453M01018,0.8,0.19,13.7,0.19,NAGAROIL
532362,NAGPOW,DR,NAGPUR POWER & INDUSTRIES LTD,136.15,1,532362,NAGPI,NAGPUR POWER & INDUSTRIES LTD,111.45,10,INE099E01016,190,83,190,0.4,NAGPI
750830,NAGRE1,C,NAGREEKA EXPORTS LTD RE,16.21,1,750830,NAGREE-RE,NAGREEKA EXPORTS LTD RE,6.95,10,INE123B20010,13,7.7,0,0,NAGREE-RE
532952,NAHCAP,DR,NAHAR CAPITAL & FIN SERV LTD,367.3,1,532952,NAHARCAP,NAHAR CAPITAL & FIN SERV LTD,244.9,5,INE049I01012,375,263.85,682.2,17.65,NAHARCAP
519136,NAHIND,DR,NAHAR INDUSTRIAL ENTERPRISES,168.7,1,519136,NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES,112.5,10,INE289A01011,175,108.35,395,2.7,NAHARINDUS
504888,NAHINT,C,NAHAR INTERNATIONAL LTD,0,1,504888,,NAHAR INTERNATIONAL LTD,0,10,INE360A01010,0,0,193.33,1.3,
523391,NAHPOL,C,NAHAR POLYFILMS LTD,244.3,1,523391,NAHARPOLY,NAHAR POLYFILMS LTD,221.1,5,INE308A01027,372.4,166.75,601,7,NAHARPOLY
500296,NAHSPI,DR,NAHAR SPINNING MILLS LTD,321.05,1,500296,NAHARSPING,NAHAR SPINNING MILLS LTD,214.05,5,INE290A01027,383.4,230,1750,19.2,NAHARSPING
507492,NAHSUG,DR,NAHAR SUGARS & ALLIED IND,0,1,507492,,NAHAR SUGARS & ALLIED IND,0,10,INE361A01018,0,0,135,1.65,
531365,NAIAGR,C,NAISARGIK AGRITECH,2.2,1,531365,NAISARG,NAISARGIK AGRITECH,2,10,INE360M01015,79.35,1.62,184.85,0.5,NAISARG
526831,NAISEM,DR,NAINA SEMICONDUCTOR,1.31,1,526831,,NAINA SEMICONDUCTOR,1.19,10,,5,1.25,12,1.25,
541418,NAKGRO,DR,NAKODA GROUP OF INDUSTRIES LTD,44.85,1,541418,NGIL,NAKODA GROUP OF INDUSTRIES LTD,29.91,10,INE236Y01012,57,33.07,251,8.58,NGIL
521030,NAKLIM,C,NAKODA LIMITED,0.2,1,521030,NAKODA,NAKODA LIMITED,0.19,5,INE559B01023,0.46,0.19,23.3,0.15,NAKODA
750808,NAKRE1,C,NAKODA GRP IND LTD RIGHTS ENT,8.38,1,750808,NGIL-RE1,NAKODA GRP IND LTD RIGHTS ENT,3.6,1,INE236Y20020,8.2,2.1,8.2,2.1,NGIL-RE1
750870,NAKRE2,C,NAKODA GRP IND LTD RIGHTS ENT,20.74,1,750870,NGIL-RE2,NAKODA GRP IND LTD RIGHTS ENT,8.9,1,INE236Y20038,15,8.5,15,8.5,NGIL-RE2
524101,NALCHE,DR,ONDEO NALCO,0,1,524101,,ONDEO NALCO,0,10,INE582A01019,0,0,869.5,80,
531212,NALLEA,C,NALIN LEASE FINANCE LTD,81.17,1,531212,NLFL,NALIN LEASE FINANCE LTD,73.45,10,INE606C01012,99.88,32.05,99.88,2.3,NLFL
532256,NALSON,DR,NALWA SONS INVESTMENT LTD,7709.8,1,532256,NSIL,NALWA SONS INVESTMENT LTD,6308.1,10,INE023A01030,8489.95,2352.3,8489.95,32.25,NSIL
517269,NAMELE,DR,NAMTECH ELETRONIC DEVICES,6.15,1,517269,NAMTECHELE,NAMTECH ELETRONIC DEVICES,4.11,10,INE607C01010,13.75,2.75,68.33,1.75,NAMTECHELE
526059,NAMEXP,DR,NAMASTE EXPORTS LTD,3.12,1,526059,NAMASTEXP,NAMASTE EXPORTS LTD,2.08,10,INE583A01017,2.6,2.2,340,1.25,NAMASTEXP
538395,NAMSEC,DR,NAM SECURITIES LIMITED,157.5,1,538395,NAM,NAM SECURITIES LIMITED,142.5,10,INE792G01011,198,49.64,198,5.1,NAM
532641,NANDEN,C,NANDAN DENIM LIMITED,5.16,1,532641,NDL,NANDAN DENIM LIMITED,4.68,1,INE875G01048,7.33,2.05,7.33,0.27,NDL
543522,NANVEN,C,NANAVATI VENTURES LIMITED,41.37,1,543522,NVENTURES,NANAVATI VENTURES LIMITED,37.43,10,INE0E5R01017,94.35,37,94.35,26.1,NVENTURES
543643,NARAG,DR,NARMADA AGROBASE LIMITED,15.86,1,543643,NARMADA,NARMADA AGROBASE LIMITED,14.36,10,INE117Z01011,22.09,14.64,26.26,12.47,NARMADA
502162,NARCEM,DR,NARMADA CEMENT CO. LTD.,0,1,502162,,NARMADA CEMENT CO. LTD.,0,10,INE344A01014,0,0,70,6,
524650,NARCHE,DR,NARMADA CHEMATUR PETROCHE,0,1,524650,,NARMADA CHEMATUR PETROCHE,0,10,INE693B01012,0,0,49.7,4.5,
526739,NARGEL,DR,NARMADA GELATINES LTD,375.65,1,526739,SHAWGELTIN,NARMADA GELATINES LTD,307.35,10,INE869A01010,469.4,320,566.15,5.63,SHAWGELTIN
519455,NARGEM,DR,NARBADA GEMS AND JEWELLERY LIM,76.37,1,519455,NARBADA,NARBADA GEMS AND JEWELLERY LIM,62.49,10,INE540C01021,102.46,41.8,102.46,1.5,NARBADA
539551,NARHRU,DR,NARAYANA HRUDAYALAYA LIMITED,1481.9,1,539551,NH,NARAYANA HRUDAYALAYA LIMITED,988,10,INE410P01011,1445.05,980,1445.05,181.35,NH
523317,NARIND,DR,NARANG INDUSTRIES,2.88,1,523317,NARANGIN,NARANG INDUSTRIES,1.92,10,INE172C01015,18.65,2.05,75,0.5,NARANGIN
540204,NARINV,DR,EIKO LIFESCIENCES LTD,64.07,1,540204,EIKO,EIKO LIFESCIENCES LTD,57.97,10,INE666Q01016,81.32,45.1,95.33,6.64,EIKO
517431,NARMAC,C,NARMADA MACPLAST DRI,54.59,1,517431,NARMP,NARMADA MACPLAST DRI,52.45,10,INE060D01010,52.48,9.5,52.48,0.05,NARMP
51197,NAROFS,C,DHATRE UDYOG LIMITED OFS,0,1,51197,DHATRE,DHATRE UDYOG LIMITED OFS,0,2,INE000000197,0,0,0,0,DHATRE
524224,NARPOI,DR,NARIMAN POINT CHEM.,1.47,1,524224,,NARIMAN POINT CHEM.,1.33,10,,7.95,0.5,27,0.25,
890189,NARPP1,DR,EIKO LIFESCIENCES LTD PP,27.48,1,890189,EIKOPP,EIKO LIFESCIENCES LTD PP,18.32,1,IN9666Q01014,31.89,20,0,0,EIKOPP
531416,NARPRO,DR,NARENDRA PROPERTIES LTD,50.65,1,531416,NARPROP,NARENDRA PROPERTIES LTD,33.77,10,INE603F01012,69.33,34.54,98,1.93,NARPROP
750799,NARRE1,C,EIKO LIFESCIENCES LTD RE,8.16,1,750799,EIKO-RE,EIKO LIFESCIENCES LTD RE,3.5,10,INE666Q20016,8.33,4.57,0,0,EIKO-RE
540080,NARSTE,DR,DHATRE UDYOG LIMITED,13.05,1,540080,DHATRE,DHATRE UDYOG LIMITED,10.69,1,INE715T01031,31.73,11.6,31.73,0.7,DHATRE
531457,NARSUG,DR,NARAINGARH SUGAR MIL,4.72,1,531457,NARSM,NARAINGARH SUGAR MIL,4.28,10,INE491E01015,5,4.5,15.25,4.5,NARSM
538926,NATAGR,C,NATURITE AGRO PRODUCTS LIMITED,113.17,1,538926,NAPL,NATURITE AGRO PRODUCTS LIMITED,108.75,10,INE223R01014,153.81,82,208.25,12.5,NAPL
532234,NATALU,DR,NATIONAL ALUMINIUM CO LTD,248.85,1,532234,NATIONALUM,NATIONAL ALUMINIUM CO LTD,203.65,5,INE139A01034,235.4,88.55,235.4,3.75,NATIONALUM
520069,NATAUT,DR,NATIONAL AUTO ACCESS,15.12,1,520069,,NATIONAL AUTO ACCESS,13.68,10,,14.4,14.4,15.65,2.5,
543207,NATBIO,DR,NATURAL BIOCON I,14.32,1,543207,NATURAL,NATURAL BIOCON I,9.56,10,INE06MM01016,14.85,8.33,34.15,4.35,NATURAL
524654,NATCAP,DR,NATURAL CAPSULES LTD,341.1,1,524654,NATCAPSUQ,NATURAL CAPSULES LTD,227.4,10,INE936B01015,403,255,679,33.4,NATCAPSUQ
512047,NATCOM,C,ROYAL INDIA CORPORATION LTD,33.54,1,512047,ROYALIND,ROYAL INDIA CORPORATION LTD,30.36,10,INE510H01015,56.06,3,137,0.38,ROYALIND
539595,NATECO,C,NATCO ECONOMICALS LIMITED,13.67,1,539595,NATECO,NATCO ECONOMICALS LIMITED,12.37,10,INE174S01017,69,10,97.6,10,NATECO
523630,NATFER,DR,NATIONAL FERTILIZERS LIMITED,129.1,1,523630,NFL,NATIONAL FERTILIZERS LIMITED,86.1,10,INE870D01012,169.95,65.15,169.95,2.75,NFL
531289,NATFIT,DR,NATIONAL FITTINGS LIMITED,157.8,1,531289,NATFIT,NATIONAL FITTINGS LIMITED,105.2,10,INE643C01015,194.75,90.25,285,1,NATFIT
531903,NATFLA,C,NATIONAL FLASK INDUS,1.44,1,531903,NATFLASK,NATIONAL FLASK INDUS,1.32,10,INE350B01019,2.07,0.64,44.3,0.62,NATFLASK
531651,NATGEN,DR,NATIONAL GENERAL INDUSTRIES LT,81.6,1,531651,NATGENI,NATIONAL GENERAL INDUSTRIES LT,54.4,10,INE654H01011,93.54,62.08,839.85,22.7,NATGENI
537291,NATHBI,DR,NATH BIO GENES INDIA LIMITED,201.6,1,537291,NATHBIOGEN,NATH BIO GENES INDIA LIMITED,182.4,10,INE448G01010,264.5,167.5,585,38.9,NATHBIOGEN
543385,NATHIG,DR,NATIONAL HIGHWAYS INFRA TRUST,159,1,543385,NHIT,NATIONAL HIGHWAYS INFRA TRUST,106,101,INE0H7R23014,132.5,118.5,132.5,101.99,NHIT
544245,NATHOL,C,NATUREWINGS HOLIDAYS LIMITED,65.38,1,544245,NHL,NATUREWINGS HOLIDAYS LIMITED,62.82,10,INE0N4701016,99.5,44.25,99.5,44.25,NHL
531834,NATHUE,DR,NATURA HUE CHEM LTD,9.54,1,531834,NATHUEC,NATURA HUE CHEM LTD,6.36,10,INE487B01019,10.02,5.65,58.65,0.47,NATHUEC
543579,NATIND,DR,NATURO INDIABULL LIMITED,14.46,1,543579,NATURO,NATURO INDIABULL LIMITED,9.64,10,INE0JNB01012,18.5,10.7,27.55,7.15,NATURO
526371,NATMIN,DR,NMDC LIMITED,237.5,1,526371,NMDC,NMDC LIMITED,194.4,1,INE584A01023,286.35,149.25,571.8,0.4,NMDC
51020,NATOFS,DR,NATIONAL ALUMINIUM CO LTD OFS,0,1,51020,NATOFS,NATIONAL ALUMINIUM CO LTD OFS,0,5,INE000000020,0,0,0,0,NATOFS
507813,NATOXY,DR,NATIONAL OXYGEN LTD,153.1,1,507813,NOL,NATIONAL OXYGEN LTD,102.1,10,INE296D01010,184.9,96.1,233.9,15.94,NOL
544205,NATPE,DR,NATIONAL PEROXIDE LIMITED,1027.65,1,544205,NPL,NATIONAL PEROXIDE LIMITED,840.85,10,INE0PO601011,1418.05,870.75,1418.05,870.75,NPL
500298,NATPER,C,NAPEROL INVESTMENTS LIMITED,1521.35,1,500298,NAPEROL,NAPEROL INVESTMENTS LIMITED,1376.55,10,INE585A01020,2041,801,5539,13.26,NAPEROL
524816,NATPHA,DR,NATCO PHARMA LIMITED,1606.9,1,524816,NATCOPHARM,NATCO PHARMA LIMITED,1071.3,2,INE987B01026,1638.35,725,1638.35,1.6,NATCOPHARM
526616,NATPLA,DR,NATIONAL PLASTIC INDUSTRIES LT,79.42,1,526616,NATPLAS,NATIONAL PLASTIC INDUSTRIES LT,52.96,10,INE233D01013,88.31,50.9,110,1.2,NATPLAS
516062,NATPLY,C,NATIONAL PLYWOOD IND,9.45,1,516062,NATPLY,NATIONAL PLYWOOD IND,8.55,10,INE497C01016,9.28,3.94,45.15,1.1,NATPLY
526743,NATPOL,DR,NATCO POLY PLAST,2.88,1,526743,,NATCO POLY PLAST,2.62,10,,6,1,26.25,0.6,
890161,NATPP1,DR,NATURAL CAPSULES PP RS 2.50,555.05,1,890161,NATCAPSPP,NATURAL CAPSULES PP RS 2.50,370.05,10,IN9936B01021,548,178.5,548,178.5,NATCAPSPP
530119,NATPRO,DR,NATRAJ PROTEINS LTD,55.53,1,530119,NATRAJPR,NATRAJ PROTEINS LTD,37.03,10,INE444D01016,68.81,38.5,208.45,0.6,NATRAJPR
502407,NATPUL,DR,NATH PULP & PAPER MILLS LTD,60.6,1,502407,NATHPULP,NATH PULP & PAPER MILLS LTD,54.9,10,INE776A01025,92,51.5,140,1,NATHPULP
750684,NATRE1,C,NATURAL CAPSULES RIGHTS ENT,168.2,1,750684,NATCAPS-RE,NATURAL CAPSULES RIGHTS ENT,72.1,100,INE936B20015,158,75.15,158,75.15,NATCAPS-RE
513179,NATSTE,C,NATIONAL STEEL AGRO INDUSTRI,4.04,1,513179,NATNLSTEEL,NATIONAL STEEL AGRO INDUSTRI,3.66,10,INE088B01015,5.18,2.85,80,1.27,NATNLSTEEL
513638,NATSTO,DR,NATURAL STONE EXPORT,1.2,1,513638,,NATURAL STONE EXPORT,1.1,10,,1.35,0.95,28.75,0.3,
517199,NATSWI,DR,NATIONAL SWITCHGEARS,2.04,1,517199,,NATIONAL SWITCHGEARS,1.86,10,,2.65,1.95,125,1.95,
512185,NATSYN,C,IOL NETCOM LIMITED,1.36,1,512185,IOLN,IOL NETCOM LIMITED,1.24,10,INE517C01011,7.8,1.19,619.5,1.19,IOLN
531287,NATTEC,DR,NATIONAL PLASTIC TECHNOLOGIES,448.1,1,531287,NATPLASTI,NATIONAL PLASTIC TECHNOLOGIES,298.8,10,INE896D01017,528.3,221.4,528.3,1.05,NATPLASTI
513023,NAVBHA,DR,NAVA LIMITED,1095.6,1,513023,NAVA,NAVA LIMITED,730.4,2,INE725A01022,1346.7,374.55,1346.7,0.98,NAVA
531494,NAVBUI,DR,NAVKAR URBANSTRUCTURE LIMITED,11.99,1,531494,NAVKAR,NAVKAR URBANSTRUCTURE LIMITED,10.85,2,INE268H01036,16.8,3.7,21.4,0.3,NAVKAR
539521,NAVCO,C,NAVIGANT CORP ADVISORS LTD,54.82,1,539521,NAVIGANT,NAVIGANT CORP ADVISORS LTD,49.6,0,INE364T01012,57.84,19.22,57.84,4.53,NAVIGANT
539332,NAVCOR,DR,NAVKAR CORPORATION LIMITED,141.45,1,539332,NAVKARCORP,NAVKAR CORPORATION LIMITED,94.35,10,INE278M01019,163.95,55.58,246.55,13.2,NAVKARCORP
508989,NAVEDU,DR,NAVNEET EDUCATION LIMITED,168.15,1,508989,NAVNETEDUL,NAVNEET EDUCATION LIMITED,112.15,2,INE060A01024,179.05,128.9,193.6,0.53,NAVNETEDUL
532036,NAVELE,DR,NAVYUG ELECTRIC,0.3,1,532036,,NAVYUG ELECTRIC,0.2,1,,3.8,0.25,14.49,0.25,
543305,NAVENT,DR,NAVODAY ENTERPRISES LIMITED,11.22,1,543305,NAVODAYENT,NAVODAY ENTERPRISES LIMITED,7.48,10,INE0DB001013,11.5,6.5,14.12,3,NAVODAYENT
